ID,Category,LINK,SLOT (Numeric International),STANDARD (Numeric International),SLOT (Numeric 1-7),STANDARD (Numeric 1-7),SLOT (Descriptive),STANDARD (Descriptive),,
41,Cautions,,SUDDEN,,,,,,,
42,Cautions,,IMPORTANT,,,,,,,
43,Cautions,,DRAWS_IN,,,,,,,
44,Cautions,,THROWS_OUT,,,,,,,
45,Cautions,,LIFTS,,,,,,,
46,Cautions,,REMEMBER,,,,,,,
47,Cautions,,PATIENT,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,Obstacles,,CREST,,,,,,,
61,Obstacles,,BROW,,,,,,,
62,Obstacles,,DITCH,,,,,,,
63,Obstacles,,CHICANE,,,,,,,
64,Obstacles,,DIP,,,,,,,
65,Obstacles,,DROP,,,,,,,
66,Obstacles,,GATE,,,,,,,
67,Obstacles,,TUNNEL,,,,,,,
68,Obstacles,,CURB,,,,,,,
69,Obstacles,,RAILS,,,,,,,
70,Obstacles,,RAILWAY,,,,,,,
71,Obstacles,,BUMPS,,,,,,,
72,Obstacles,,HOLE,,,,,,,
73,Obstacles,,GRATE,,,,,,,
74,Obstacles,,RUT,,,,,,,
75,Obstacles,,RUTS,,,,,,,
76,Obstacles,,ROUNDABOUT,,,,,,,
77,Obstacles,,JUNCTION,,,,,,,
78,Obstacles,,FORK,,,,,,,
79,Obstacles,,LAYBY,,,,,,,
80,Obstacles,,INCLINE,,,,,,,
81,Obstacles,,HILL,,,,,,,
82,Obstacles,,SLOPE,,,,,,,
83,Obstacles,,FIELD,,,,,,,
84,Obstacles,,WATER,,,,,,,
85,Obstacles,,SUMPPU,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,NOTE: Add types of sections at 2000+,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,Corners,,LEFT,,LEFT,,LEFT,,,
101,Corners,INTO,LEFT_6,LEFT_5,LEFT_7,LEFT_6,LEFT_FLAT,LEFT_EASY,,
102,Corners,INTO,LEFT_SQUARE,LEFT_2,LEFT_SQUARE,LEFT_3,LEFT_SQUARE,LEFT_K,,
103,Corners,,LEFT_INTO,,LEFT_INTO,,LEFT_INTO,,,
104,Corners,INTO,LEFT_RIGHT,TWISTY,LEFT_RIGHT,TWISTY,LEFT_RIGHT,TWISTY,,
105,Corners,INTO,LEFT_ACUTE,,LEFT_ACUTE,,LEFT_ACUTE,,,
106,Corners,INTO,LEFT_AROUND,,LEFT_AROUND,,LEFT_AROUND,,,
107,Corners,INTO,LEFT_DONUT,,LEFT_DONUT,,LEFT_DONUT,,,
108,Corners,,LEFT_SHORT,,LEFT_SHORT,,LEFT_SHORT,,,
109,Corners,,LEFT_OVER,,LEFT_OVER,,LEFT_OVER,,,
110,Corners,INTO,CHICANE_LEFT_ENTRY,CHICANE,CHICANE_LEFT_ENTRY,CHICANE,CHICANE_LEFT_ENTRY,CHICANE,,
111,,,,,,,,,,
112,Corners,,RIGHT,,RIGHT,,RIGHT,,,
113,Corners,INTO,RIGHT_6,RIGHT_5,RIGHT_7,RIGHT_6,RIGHT_FLAT,RIGHT_EASY,,
114,Corners,INTO,RIGHT_SQUARE,RIGHT_2,RIGHT_SQUARE,RIGHT_3,RIGHT_SQUARE,RIGHT_K,,
115,Corners,,RIGHT_INTO,,RIGHT_INTO,,RIGHT_INTO,,,
116,Corners,INTO,RIGHT_LEFT,TWISTY,RIGHT_LEFT,TWISTY,RIGHT_LEFT,TWISTY,,
117,Corners,INTO,RIGHT_ACUTE,,RIGHT_ACUTE,,RIGHT_ACUTE,,,
118,Corners,INTO,RIGHT_AROUND,,RIGHT_AROUND,,RIGHT_AROUND,,,
119,Corners,INTO,RIGHT_DONUT,,RIGHT_DONUT,,RIGHT_DONUT,,,
120,Corners,,RIGHT_SHORT,,RIGHT_SHORT,,RIGHT_SHORT,,,
121,Corners,,RIGHT_OVER,,RIGHT_OVER,,RIGHT_OVER,,,
122,Corners,INTO,CHICANE_RIGHT_ENTRY,CHICANE,CHICANE_RIGHT_ENTRY,CHICANE,CHICANE_RIGHT_ENTRY,CHICANE,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,Line,,KEEP_STRAIGHT,,,,,,,
131,Line,,KEEP_IN,,,,,,,
132,Line,,KEEP_OUT,,,,,,,
133,Line,,FROM_LEFT,,,,,,,
134,Line,,FROM_RIGHT,,,,,,,
135,Line,,TO_LEFT,,,,,,,
136,Line,,TO_RIGHT,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,Range,,1,,,,,,,
141,Range,,2,,,,,,,
142,Range,,3,,,,,,,
143,Range,,4,,,,,,,
144,Range,,5,,,,,,,
145,Range,,6,,,,,,,
146,Range,,7,,,,,,,
147,Range,,8,,,,,,,
148,Range,,9,,,,,,,
149,Range,,10,,,,,,,
150,Range,,20,,,,,,,
151,Range,,30,,,,,,,
152,Range,,40,,,,,,,
153,Range,,50,,,,,,,
154,Range,,60,,,,,,,
155,Range,,70,,,,,,,
156,Range,,80,,,,,,,
157,Range,,90,,,,,,,
158,Range,,100,,,,,,,
159,Range,,120,,,,,,,
160,Range,,140,,,,,,,
161,Range,,150,,,,,,,
162,Range,,160,,,,,,,
163,Range,,180,,,,,,,
164,Range,,200,,,,,,,
165,Range,,250,,,,,,,
166,Range,,300,,,,,,,
167,Range,,350,,,,,,,
168,Range,,400,,,,,,,
169,Range,,450,,,,,,,
170,Range,,500,,,,,,,
171,Range,,600,,,,,,,
172,Range,,700,,,,,,,
173,Range,,800,,,,,,,
174,Range,,900,,,,,,,
175,Range,,1000,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,Modifier,,TIGHT,,,,,,,
201,Modifier,,NARROW,,,,,,NOTE: Add variations of these at 2000+,
202,Modifier,,WIDE,,,,,,NOTE: Add variations of these at 2000+,
203,Modifier,,WIDENS,,,,,,NOTE: Add variations of these at 2000+,
204,Modifier,,DOUBLE,,,,,,NOTE: Add variations of these at 2000+,
205,Modifier,,OUTSIDE,,,,,,NOTE: Add variations of these at 2000+,
206,Modifier,,BETWEEN,,,,,,NOTE: Add variations of these at 2000+,
207,Modifier,,INSIDE,,,,,,NOTE: Add variations of these at 2000+,
208,Modifier,,MIDDLE,,,,,,NOTE: Add variations of these at 2000+,
209,Modifier,,SLIGHT,,,,,,NOTE: Add variations of these at 2000+,
210,Modifier,,SHORT,,,,,,NOTE: Add variations of these at 2000+,
211,Modifier,,SHORT_VERY,,,,,,NOTE: Add variations of these at 2000+,
212,Modifier,,LONG_VERY,,,,,,NOTE: Add variations of these at 2000+,
213,Modifier,,ROUND,,,,,,NOTE: Add variations of these at 2000+,
214,Modifier,,SHARP,,,,,,NOTE: Add variations of these at 2000+,
215,Modifier,,DONT,,,,,,NOTE: Add variations of these at 2000+,
216,Modifier,,SECTION,,,,,,NOTE: Add variations of these at 2000+,
217,Modifier,,EARLY,,,,,,NOTE: Add variations of these at 2000+,
218,Modifier,,LATE,,,,,,NOTE: Add variations of these at 2000+,
219,Modifier,,DOUBLE_TIGHTENS,,,,,,NOTE: Add variations of these at 2000+,
220,Modifier,,STEEP,,,,,,NOTE: Add variations of these at 2000+,
221,Modifier,,DEEP,,,,,,NOTE: Add variations of these at 2000+,
222,Modifier,,SHORT_HALF,,,,,,NOTE: Add variations of these at 2000+,
223,Modifier,,SHORT_EXTRA,,,,,,NOTE: Add variations of these at 2000+,
224,Modifier,,SHORT_EXTRAEXTRA,,,,,,,
225,Modifier,,SHORT_FUCKING,,,,,,,
226,Modifier,,SHORTSHORT,,,,,,,
227,Modifier,,NARROW_ENTRY,,,,,,,
228,Modifier,,NARROW_EXIT,,,,,,,
229,Modifier,,WIDE_ENTRY,,,,,,Note: WIDE_OUT is the alternative,
230,Modifier,,MINUS,,,,,,,
231,Modifier,,MINUSMINUS,,,,,,,
232,Modifier,,PLUS,,,,,,,
233,Modifier,,PLUSPLUS,,,,,,,
234,Modifier,,LONG_HALF,,,,,,,
235,Modifier,,LONG_EXTRA,,,,,,,
236,Modifier,,LONG_EXTRAEXTRA,,,,,,,
237,Modifier,,LONG_FUCKING,,,,,,,
238,Modifier,,LONGLONG,,,,,,,
239,Modifier,,SECTION_FASTER,,,,,,,
240,Modifier,,SECTION_SLOWER,,,,,,,
241,Modifier,,SECTION_NARROWER,,,,,,,
242,Modifier,,SECTION_WIDER,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,Construction,,BALE,,,,,,,
251,Construction,,TIRE,,,,,,,
252,Construction,,BARREL,,,,,,,
253,Construction,,ROCK,,,,,,,
254,Construction,,POLE,,,,,,,
255,Construction,,BUSH,,,,,,,
256,Construction,,TREE,,,,,,,
257,Construction,,PATH,,,,,,,
258,Construction,,PUDDLE,,,,,,,
259,Construction,,SPECTATOR,,,,,,,
260,Construction,,MARSHALL,,,,,,,
261,Construction,,HOUSE,,,,,,,
262,Construction,,BANNER,,,,,,,
263,Construction,,BARRIER,,,,,,,
264,Construction,,ISLAND,,,,,,,
265,Construction,,WALKWAY,,,,,,,
266,Construction,,SIGN,,,,,,,
267,Construction,,LOG,,,,,,,
268,Construction,,CAR,,,,,,,
269,Construction,,SNOW_BANK,,,,,,,
270,Construction,,STUMP,,,,,,,
271,Construction,,NETTING,,,,,,,
272,Construction,,TAPE,,,,,,,
273,Construction,,WALL,,,,,,,
274,Construction,,FENCE,,,,,,,
275,Construction,,CONE,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,Surface,,DRY,,,,,,,
301,Surface,,DAMP,,,,,,,
302,Surface,,WET,,,,,,,
303,Surface,,DIRTY,,,,,,,
304,Surface,,MUDDY,,,,,,,
305,Surface,,SLIPPY,,,,,,,
306,Surface,,BUMPY,,,,,,,
307,Surface,,ROUGH,,,,,,,
308,Surface,,SMOOTH,,,,,,,
309,,,,,,,,,,
310,Surface,,GRIT,,,,,,,
311,Surface,,GRAVEL,,,,,,,
312,Surface,,DIRT,,,,,,,
313,Surface,,TARMAC,,,,,,,
314,Surface,,CONCRETE,,,,,,,
315,Surface,,RUBBLE,,,,,,,
316,Surface,,SNOW,,,,,,,
317,Surface,,ICE,,,,,,,
318,Surface,,BLACK_ICE,,,,,,,
319,Surface,,MUD,,,,,,,
320,Surface,,COBBLES,,,,,,,
321,,,,,,,,,,
322,,,,,,,,,,
323,,,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,,,,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,,,,,,,,,,
334,,,,,,,,,,
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,
346,,,,,,,,,,
347,,,,,,,,,,
348,,,,,,,,,,
349,,,,,,,,,,
350,Line,,DIRECT,,,,,,,
351,Line,,DIRECTLY,,,,,,,
352,Line,,TAKE,,,,,,,
353,Line,,NEXT,,,,,,,
354,Line,,HANG,,,,,,,
355,Line,,AGAIN,,,,,,,
356,Line,,HOOK,,,,,,,
357,Line,,CLIP,,,,,,,
358,Line,,CUT_LATE,,,,,,,
359,Line,,CUT_EARLY,,,,,,,
360,Line,,CUT_FULL,,,,,,,
361,Line,,CUT_LIGHT,,,,,,,
362,Line,,CUT_THROUGH,,,,,,,
363,Line,,CUT_DEEP,,,,,,,
364,Line,,DONTCUT_EARLY,,,,,,,
365,Line,,DONTCUT_LATE,,,,,,,
366,Line,,KEEP_LINE,,,,,,,
367,Line,,CAMBER,,,,,,,
368,Line,,CAMBER_BAD,,,,,,,
369,Line,,CAMBER_GOOD,,,,,,,
370,Line,,LEFTISH,,,,,,,
371,Line,,RIGHTISH,,,,,,,
372,Line,,GO_ROUND,,,,,,,
373,Line,,DOUBLE_DONT,,,,,,,
374,Line,,TRIPLE_DONT,,,,,,,
375,Line,,CAMBER_POSITIVE,,,,,,,
376,Line,,CAMBER_NEGATIVE,,,,,,,
377,Line,,TO_SIGHT_DISTANCE,,,,,,,
378,Line,,STAY,,,,,,,
379,Line,,STAY_IN,,,,,,,
380,Line,,STAY_OUT,,,,,,,
381,Line,,STAY_NARROW,,,,,,,
382,Line,,STAY_WIDE,,,,,,,
383,Line,,DOWNHILL,,,,,,,
384,Line,,UPHILL,,,,,,,
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,,
388,,,,,,,,,,
389,,,,,,,,,,
390,,,,,,,,,,
391,,,,,,,,,,
392,,,,,,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,,,,,,,,,,
396,,,,,,,,,,
397,,,,,,,,,,
398,,,,,,,,,,
399,,,,,,,,,,
400,Links,,TAKE_EXIT,,,,,,,
401,Links,,THROUGH,,,,,,,
402,Links,,FOR,,,,,,,
403,Links,,THEN,,,,,,,
404,Links,,IMMEDIATE,,,,,,,
405,Links,,CONTINUES,,,,,,,
406,,,,,,,,,,
407,Links,,OVER,,,,,,,
408,,,,,,,,,,
409,Links,,DONE,,,,,,,
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,,,,,
414,,,,,,,,,,
415,,,,,,,,,,
416,,,,,,,,,,
417,,,,,,,,,,
418,,,,,,,,,,
419,,,,,,,,,,
420,Driving,,BRAKE,,,,,,,
421,Driving,,BRAKE_HARD,,,,,,,
422,Driving,,BRAKING,,,,,,,
423,Driving,,DAB,,,,,,,
424,Driving,,HANDBRAKE,,,,,,,
425,Driving,,SLOW,,,,,,,
426,Driving,,SLOWING,,,,,,,
427,Driving,,WALKING_SPEED,,,,,,,
428,Driving,,STOP,,,,,,,
429,Driving,,LIFT,,,,,,,
430,Driving,,SMOOTH,,,,,,,
431,Driving,,NEAT,,,,,,,
432,Driving,,FASTER,,,,,,,
433,Driving,,FLATOUT,,,,,,,
434,Driving,,BRAVE,,,,,,,
435,Driving,,BELIEVE,,,,,,,
436,Driving,,SIDEWAYS,,,,,,,
437,Driving,,UNDERSTEER,,,,,,,
438,Driving,,DONTLOCKUP,,,,,,,
439,,,,,,,,,,
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,,
443,,,,,,,,,,
444,,,,,,,,,,
445,,,,,,,,,,
446,,,,,,,,,,
447,,,,,,,,,,
448,,,,,,,,,,
449,,,,,,,,,,
450,,,,,,,,,,
451,,,,,,,,,,
452,,,,,,,,,,
453,,,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,,,,,,,,
457,,,,,,,,,,
458,,,,,,,,,,
459,,,,,,,,,,
460,,,,,,,,,,
461,,,,,,,,,,
462,,,,,,,,,,
463,,,,,,,,,,
464,,,,,,,,,,
465,,,,,,,,,,
466,,,,,,,,,,
467,,,,,,,,,,
468,,,,,,,,,,
469,,,,,,,,,,
470,,,,,,,,,,
471,,,,,,,,,,
472,,,,,,,,,,
473,,,,,,,,,,
474,,,,,,,,,,
475,,,,,,,,,,
476,,,,,,,,,,
477,,,,,,,,,,
478,,,,,,,,,,
479,,,,,,,,,,
480,,,,,,,,,,
481,,,,,,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,
485,,,,,,,,,,
486,,,,,,,,,,
487,,,,,,,,,,
488,,,,,,,,,,
489,,,,,,,,,,
490,,,,,,,,,,
491,,,,,,,,,,
492,,,,,,,,,,
493,,,,,,,,,,
494,,,,,,,,,,
495,,,,,,,,,,
496,,,,,,,,,,
497,,,,,,,,,,
498,,,,,,,,,,
499,,,,,,,,,,
500,Prepositions,,BEFORE,,,,,,,
501,Prepositions,,AFTER,,,,,,,
502,Prepositions,,BEHIND,,,,,,,
503,Prepositions,,NEAR,,,,,,,
504,Prepositions,,IN,,,,,,,
505,Prepositions,,ON,,,,,,,
506,Prepositions,,OFF,,,,,,,
507,Prepositions,,UNTIL,,,,,,,
508,Prepositions,,AT,,,,,,,
509,Prepositions,,AT_ENTRY,,,,,,,
510,Prepositions,,AT_EXIT,,,,,,,
511,,,,,,,,,,
512,,,,,,,,,,
513,,,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,,,,,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,,,,,,
522,,,,,,,,,,
523,,,,,,,,,,
524,,,,,,,,,,
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,,,
528,,,,,,,,,,
529,,,,,,,,,,
530,,,,,,,,,,
531,,,,,,,,,,
532,,,,,,,,,,
533,,,,,,,,,,
534,,,,,,,,,,
535,,,,,,,,,,
536,,,,,,,,,,
537,,,,,,,,,,
538,,,,,,,,,,
539,,,,,,,,,,
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,,
544,,,,,,,,,,
545,,,,,,,,,,
546,,,,,,,,,,
547,,,,,,,,,,
548,,,,,,,,,,
549,,,,,,,,,,
550,,,,,,,,,,
551,,,,,,,,,,
552,,,,,,,,,,
553,,,,,,,,,,
554,,,,,,,,,,
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,,,,,,
559,,,,,,,,,,
560,,,,,,,,,,
561,,,,,,,,,,
562,,,,,,,,,,
563,,,,,,,,,,
564,,,,,,,,,,
565,,,,,,,,,,
566,,,,,,,,,,
567,,,,,,,,,,
568,,,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,,,,
577,,,,,,,,,,
578,,,,,,,,,,
579,,,,,,,,,,
580,,,,,,,,,,
581,,,,,,,,,,
582,,,,,,,,,,
583,,,,,,,,,,
584,,,,,,,,,,
585,,,,,,,,,,
586,,,,,,,,,,
587,,,,,,,,,,
588,,,,,,,,,,
589,,,,,,,,,,
590,,,,,,,,,,
591,,,,,,,,,,
592,,,,,,,,,,
593,,,,,,,,,,
594,,,,,,,,,,
595,,,,,,,,,,
596,,,,,,,,,,
597,,,,,,,,,,
598,,,,,,,,,,
599,,,,,,,,,,
600,Prepositions,,AT_BALE,,,,,,,
601,Prepositions,,AT_TIRE,,,,,,,
602,Prepositions,,AT_BARREL,,,,,,,
603,Prepositions,,AT_ROCK,,,,,,,
604,Prepositions,,AT_POLE,,,,,,,
605,Prepositions,,AT_BUSH,,,,,,,
606,Prepositions,,AT_TREE,,,,,,,
607,Prepositions,,AT_PATH,,,,,,,
608,Prepositions,,AT_PUDDLE,,,,,,,
609,Prepositions,,AT_SPECTATOR,,,,,,,
610,Prepositions,,AT_MARSHALL,,,,,,,
611,Prepositions,,AT_HOUSE,,,,,,,
612,Prepositions,,AT_BANNER,,,,,,,
613,Prepositions,,AT_BARRIER,,,,,,,
614,Prepositions,,AT_ISLAND,,,,,,,
615,Prepositions,,AT_WALKWAY,,,,,,,
616,Prepositions,,AT_SIGN,,,,,,,
617,Prepositions,,AT_LOG,,,,,,,
618,Prepositions,,AT_CAR,,,,,,,
619,Prepositions,,AT_SNOW_BANK,,,,,,,
620,Prepositions,,AT_STUMP,,,,,,,
621,Prepositions,,AT_NETTING,,,,,,,
622,Prepositions,,AT_TAPE,,,,,,,
623,Prepositions,,AT_WALL,,,,,,,
624,Prepositions,,AT_FENCE,,,,,,,
625,Prepositions,,AT_CONE,,,,,,,
626,Prepositions,,AT_SPLIT,,,,,,,
627,,,,,,,,,,
628,,,,,,,,,,
629,,,,,,,,,,
630,,,,,,,,,,
631,,,,,,,,,,
632,,,,,,,,,,
633,,,,,,,,,,
634,,,,,,,,,,
635,Prepositions,,AT_FORD,,,,,,,
636,Prepositions,,AT_BUMP,,,,,,,
637,Prepositions,,AT_JUMP,,,,,,,
638,Prepositions,,AT_BRIDGE,,,,,,,
639,Prepositions,,AT_CREST,,,,,,,
640,Prepositions,,AT_BROW,,,,,,,
641,Prepositions,,AT_DITCH,,,,,,,
642,Prepositions,,AT_CHICANE,,,,,,,
643,Prepositions,,AT_DIP,,,,,,,
644,Prepositions,,AT_DROP,,,,,,,
645,Prepositions,,AT_GATE,,,,,,,
646,Prepositions,,AT_TUNNEL,,,,,,,
647,Prepositions,,AT_CURB,,,,,,,
648,Prepositions,,AT_RAILS,,,,,,,
649,Prepositions,,AT_RAILWAY,,,,,,,
650,Prepositions,,AT_BUMPS,,,,,,,
651,Prepositions,,AT_HOLE,,,,,,,
652,Prepositions,,AT_GRATE,,,,,,,
653,Prepositions,,AT_RUT,,,,,,,
654,Prepositions,,AT_RUTS,,,,,,,
655,Prepositions,,AT_ROUNDABOUT,,,,,,,
656,Prepositions,,AT_JUNCTION,,,,,,,
657,Prepositions,,AT_FORK,,,,,,,
658,Prepositions,,AT_LAYBY,,,,,,,
659,Prepositions,,AT_INCLINE,,,,,,,
660,Prepositions,,AT_HILL,,,,,,,
661,Prepositions,,AT_SLOPE,,,,,,,
662,Prepositions,,AT_FIELD,,,,,,,
663,Prepositions,,AT_WATER,,,,,,,
664,Prepositions,,AT_SUMPPU,,,,,,,
665,,,,,,,,,,
666,,,,,,,,,,
667,,,,,,,,,,
668,,,,,,,,,,
669,,,,,,,,,,
670,,,,,,,,,,
671,,,,,,,,,,
672,,,,,,,,,,
673,,,,,,,,,,
674,,,,,,,,,,
675,Prepositions,,AT_BLACK,,,,,,,
676,Prepositions,,AT_BLUE,,,,,,,
677,Prepositions,,AT_GREEN,,,,,,,
678,Prepositions,,AT_RED,,,,,,,
679,Prepositions,,AT_WHITE,,,,,,,
680,Prepositions,,AT_YELLOW,,,,,,,
681,Prepositions,,AT_OBJECT,,,,,,,
682,Prepositions,,AT_THING,,,,,,,
683,Prepositions,,AT_MARK,,,,,,,
684,,,,,,,,,,
685,,,,,,,,,,
686,,,,,,,,,,
687,,,,,,,,,,
688,,,,,,,,,,
689,,,,,,,,,,
690,,,,,,,,,,
691,,,,,,,,,,
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,,,,,,
696,,,,,,,,,,
697,,,,,,,,,,
698,,,,,,,,,,
699,,,,,,,,,,
700,,,,,,,,,,
701,,,,,,,,,,
702,,,,,,,,,,
703,,,,,,,,,,
704,,,,,,,,,,
705,,,,,,,,,,
706,,,,,,,,,,
707,,,,,,,,,,
708,,,,,,,,,,
709,,,,,,,,,,
710,,,,,,,,,,
711,,,,,,,,,,
712,,,,,,,,,,
713,,,,,,,,,,
714,,,,,,,,,,
715,,,,,,,,,,
716,,,,,,,,,,
717,,,,,,,,,,
718,,,,,,,,,,
719,,,,,,,,,,
720,,,,,,,,,,
721,,,,,,,,,,
722,,,,,,,,,,
723,,,,,,,,,,
724,,,,,,,,,,
725,,,,,,,,,,
726,,,,,,,,,,
727,,,,,,,,,,
728,,,,,,,,,,
729,,,,,,,,,,
730,,,,,,,,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
736,,,,,,,,,,
737,,,,,,,,,,
738,,,,,,,,,,
739,,,,,,,,,,
740,,,,,,,,,,
741,,,,,,,,,,
742,,,,,,,,,,
743,,,,,,,,,,
744,,,,,,,,,,
745,,,,,,,,,,
746,,,,,,,,,,
747,,,,,,,,,,
748,,,,,,,,,,
749,,,,,,,,,,
750,,,,,,,,,,
751,,,,,,,,,,
752,,,,,,,,,,
753,,,,,,,,,,
754,,,,,,,,,,
755,,,,,,,,,,
756,,,,,,,,,,
757,,,,,,,,,,
758,,,,,,,,,,
